2774016817	2	2774020933
Ga0072500_1523083	3	Ga0197142_10124867,Ga0209493_10011554
Ga0072500_1578363	3	Ga0197144_1012053,GBSSWat77CDRAFT_0010576
Ga0072500_1451686	5	Ga0197144_10016430,Ga0209393_100019113,GBSSWat77CDRAFT_00039013,Ga0197143_100168413
Ga0072500_15270219	2	Ga0197143_100038125
Ga0072500_11757518	2	Ga0197142_10089323
Ga0450857_04153_32_1495	2	Ga0450882_06141_109_1572
Ga0450857_04218_27_1664	3	Ga0450855_04885_48_1685,Ga0450882_05458_27_1664
2643432273	7	Ga0105159_100016916,Ga0209183_100020925,2643418185,2643416266,2643430269,Ga0209822_100007842
YNPsite09_CeleraDRAFT_155490	2	YNP9_97280
YNPsite09_CeleraDRAFT_175640	2	YNP9_64950
YNPsite09_CeleraDRAFT_59410	2	YNP9_89410
2730753351	7	2549771741,2730756366,2549777848,2730743552,2730740504,2549780980
2730753462	2	2730756534
Ga0129301_10012949	2	Ga0209102_10022115
Ga0129301_10008939	2	Ga0209102_10016424
Ga0129301_100089511	2	Ga0209102_100029029
Ga0129301_10061663	2	Ga0209102_10057592
Ga0129301_10010144	2	Ga0209102_10011914
Ga0496348_000023_61015_62589	4	Ga0496376_000277_60027_61601,Ga0495965_000026_60249_61823,Ga0496350_000057_54963_56537
Ga0496348_003172_5094_6635	2	Ga0495965_002519_5183_6724
Ga0496348_000734_13931_15445	4	Ga0496356_00059_55345_56859,Ga0496349_000877_4567_6081,Ga0496347_000411_13933_15447
Ga0496348_000217_22774_24339	7	Ga0496376_000131_85554_87119,Ga0496349_000050_4881_6446,Ga0496355_000069_4881_6446,Ga0495965_000205_22773_24338,Ga0496350_000203_54811_56376,Ga0311297_119065257
Ga0496348_002181_1104_2660	5	Ga0496349_001684_9578_11134,Ga0496355_002353_7551_9107,Ga0496350_012273_413_1969,Ga0496351_001050_11449_13005
Ga0496348_000028_58272_59741	5	Ga0496376_000094_66096_67565,Ga0496355_003306_915_2384,Ga0496358_000091_5117_6586,Ga0496362_000057_21447_22916
Ga0496348_000821_14733_16247	2	Ga0496355_000856_2642_4156
Ga0496348_000564_9169_10704	2	Ga0496349_004605_3531_5066
Ga0496348_003134_1797_3362	4	Ga0496349_000724_1985_3550,Ga0496355_000247_38902_40467,Ga0496350_003141_6824_8389
Ga0496348_001622_9193_10683	2	Ga0496349_000295_2977_4467
Ga0496348_000291_24551_25972	4	Ga0496376_000366_49068_50489,Ga0496355_000102_49011_50432,Ga0496353_000919_11759_13180
Ga0496348_000970_14869_16455	3	Ga0496349_001081_14992_16578,Ga0496350_001218_1818_3404
